participant_code,block,block_trial,overall_trial,opponent_type,opponent_id,choice,opponent_choice,reward,total_points,session_code,strategy
synth_biased,single,1,1,algo_A,algo_A_v1,R,R,10,10,synth_biased_000,biased
synth_biased,single,2,2,algo_A,algo_A_v1,L,L,10,20,synth_biased_000,biased
synth_biased,single,3,3,algo_A,algo_A_v1,R,R,10,30,synth_biased_000,biased
synth_biased,single,4,4,algo_A,algo_A_v1,R,R,10,40,synth_biased_000,biased
synth_biased,single,5,5,algo_A,algo_A_v1,R,L,0,40,synth_biased_000,biased
synth_biased,single,6,6,algo_A,algo_A_v1,R,R,10,50,synth_biased_000,biased
synth_biased,single,7,7,algo_A,algo_A_v1,R,R,10,60,synth_biased_000,biased
synth_biased,single,8,8,algo_A,algo_A_v1,R,R,10,70,synth_biased_000,biased
synth_biased,single,9,9,algo_A,algo_A_v1,R,L,0,70,synth_biased_000,biased
synth_biased,single,10,10,algo_A,algo_A_v1,R,L,0,70,synth_biased_000,biased
synth_biased,single,11,11,algo_A,algo_A_v1,R,L,0,70,synth_biased_000,biased
synth_biased,single,12,12,algo_A,algo_A_v1,R,R,10,80,synth_biased_000,biased
synth_biased,single,13,13,algo_A,algo_A_v1,R,R,10,90,synth_biased_000,biased
synth_biased,single,14,14,algo_A,algo_A_v1,L,R,0,90,synth_biased_000,biased
synth_biased,single,15,15,algo_A,algo_A_v1,R,L,0,90,synth_biased_000,biased
synth_biased,single,16,16,algo_A,algo_A_v1,R,L,0,90,synth_biased_000,biased
synth_biased,single,17,17,algo_A,algo_A_v1,R,R,10,100,synth_biased_000,biased
synth_biased,single,18,18,algo_A,algo_A_v1,R,L,0,100,synth_biased_000,biased
synth_biased,single,19,19,algo_A,algo_A_v1,L,R,0,100,synth_biased_000,biased
synth_biased,single,20,20,algo_A,algo_A_v1,R,R,10,110,synth_biased_000,biased
synth_biased,single,21,21,algo_A,algo_A_v1,R,R,10,120,synth_biased_000,biased
synth_biased,single,22,22,algo_A,algo_A_v1,R,L,0,120,synth_biased_000,biased
synth_biased,single,23,23,algo_A,algo_A_v1,R,R,10,130,synth_biased_000,biased
synth_biased,single,24,24,algo_A,algo_A_v1,L,R,0,130,synth_biased_000,biased
synth_biased,single,25,25,algo_A,algo_A_v1,R,R,10,140,synth_biased_000,biased
synth_biased,single,26,26,algo_A,algo_A_v1,L,L,10,150,synth_biased_000,biased
synth_biased,single,27,27,algo_A,algo_A_v1,R,L,0,150,synth_biased_000,biased
synth_biased,single,28,28,algo_A,algo_A_v1,R,L,0,150,synth_biased_000,biased
synth_biased,single,29,29,algo_A,algo_A_v1,R,L,0,150,synth_biased_000,biased
synth_biased,single,30,30,algo_A,algo_A_v1,R,R,10,160,synth_biased_000,biased
synth_biased,single,31,31,algo_A,algo_A_v1,R,R,10,170,synth_biased_000,biased
synth_biased,single,32,32,algo_A,algo_A_v1,R,R,10,180,synth_biased_000,biased
synth_biased,single,33,33,algo_A,algo_A_v1,L,L,10,190,synth_biased_000,biased
synth_biased,single,34,34,algo_A,algo_A_v1,R,L,0,190,synth_biased_000,biased
synth_biased,single,35,35,algo_A,algo_A_v1,L,L,10,200,synth_biased_000,biased
